Date and Time:                Fri Apr 13 12:22:48.444 2018
Software Version:             4.30.30034.0
Temperature (C):              -30
Model:                        DH334T-18U-03
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         2
Accumulate Cycle Time (secs): 2
Frequency (Hz):               0.5
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         true
Vertical Shift Speed (usecs): 6.5
Pixel Readout Rate (MHz):     0.05
512.99463	8637.31
513.21448	8674.45
513.43427	8690.32
513.65411	8696.27
513.87396	8714.68
514.09381	8754.83
514.3136	8810.93
514.53345	8846.54
514.7533	8845.28
514.97314	8840.65
515.19293	8848.57
515.41278	8868.2
515.63263	8914.38
515.85248	8985.41
516.07227	9050.09
516.29211	9076.56
516.51196	9052.38
516.73181	8995.3
516.9516	8940.55
517.17145	8910.56
517.3913	8905.88
517.61115	8914.32
517.83093	8919.54
518.05078	8913.76
518.27063	8906.58
518.49048	8910.59
518.71033	8921.29
518.93011	8924.81
519.14996	8904.99
519.36981	8815.84
519.58966	8588.74
519.80945	8223.26
520.0293	7834.29
520.24915	7549.73
520.46899	7398.78
520.68878	7333.76
520.90863	7303.93
521.12848	7288.47
521.34833	7288.43
521.56812	7301.25
521.78796	7310.9
522.00781	7305.36
522.22766	7293.79
522.44745	7294.15
522.6673	7311.36
522.88715	7332.15
523.10699	7336.36
523.32678	7322.77
523.54663	7317.31
523.76648	7340.55
523.98633	7382.43
524.20612	7421.35
524.42596	7445.99
524.64581	7455.63
524.86566	7460.74
525.08551	7476.57
525.3053	7505.92
525.52515	7536.12
525.745	7554.13
525.96484	7562.41
526.18463	7573.32
526.40448	7586.54
526.62433	7589.37
526.84418	7574.88
527.06396	7545.38
527.28381	7510.97
527.50366	7484.38
527.72351	7468.52
527.9433	7464.35
528.16315	7472.77
528.383	7474.62
528.60284	7456.91
528.82263	7434.61
529.04248	7420.51
529.26233	7409.47
529.48218	7396.88
529.70197	7389.9
529.92181	7393.21
530.14166	7397.04
530.36151	7390.74
530.5813	7377.78
530.80115	7372.17
531.021	7378.66
531.24084	7384.08
531.46069	7375.07
531.68048	7353.76
531.90033	7336.03
532.12018	7340.31
532.34003	7365.4
532.55981	7381.65
532.77966	7362.82
532.99951	7320.76
533.21936	7290.71
533.43915	7288.14
533.659	7297.8
533.87885	7300.54
534.09869	7296.26
534.31848	7298.9
534.53833	7314.88
534.75818	7333.16
534.97803	7341.15
535.19781	7350.63
535.41766	7387.95
535.63751	7449.92
535.85736	7497.35
536.07715	7498.88
536.297	7474.08
536.51685	7469.94
536.73669	7496.68
536.95648	7526.39
537.17633	7528.01
537.39618	7504.64
537.61603	7500.82
537.83588	7530.83
538.05566	7553.88
538.27551	7539.52
538.49536	7514.63
538.71521	7516.16
538.935	7530.77
539.15485	7525.75
539.37469	7498.57
539.59454	7471.13
539.81433	7456.48
540.03418	7445.35
540.25403	7427.33
540.47388	7410.37
540.69366	7404.61
540.91351	7400.07
541.13336	7381.7
541.35321	7358.48
541.573	7353.37
541.79285	7364.23
542.0127	7361.17
542.23254	7337.71
542.45233	7329.31
542.67218	7351.21
542.89203	7367.22
543.11188	7348.62
543.33167	7318.29
543.55151	7308.33
543.77136	7304.62
543.99121	7276.45
544.21106	7245.8
544.43085	7255.18
544.6507	7278.47
544.87054	7262.91
545.09039	7235.88
545.31018	7264.21
545.53003	7364.33
545.74988	7502.88
545.96973	7610.23
546.18951	7608.44
