Date and Time:                Fri Apr 13 12:59:06.838 2018
Software Version:             4.30.30034.0
Temperature (C):              -30
Model:                        DH334T-18U-03
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         2
Accumulate Cycle Time (secs): 2
Frequency (Hz):               0.5
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         true
Vertical Shift Speed (usecs): 6.5
Pixel Readout Rate (MHz):     0.05
462.76361	8592.81
462.76758	8585.43
462.77155	8581.27
462.77548	8577.14
462.77945	8577.15
462.78342	8581.58
462.78738	8586.02
462.79132	8590.42
462.79529	8557.75
462.79926	8519.5
462.80322	8481.25
462.80716	8446.1
462.81113	8418.94
462.81509	8391.78
462.81906	8364.61
462.823	8345.44
462.82697	8330.48
462.83093	8315.51
462.8349	8305.46
462.83884	8322.55
462.8428	8343.62
462.84677	8364.68
462.85074	8392.08
462.85468	8428.12
462.85864	8464.43
462.86261	8498.56
462.86658	8513.1
462.87051	8519.43
462.87448	8525.8
462.87845	8534.87
462.88239	8550.57
462.88635	8567.21
462.89032	8583.84
462.89429	8612.16
462.89822	8649
462.90219	8686.14
462.90616	8726.91
462.91013	8789.78
462.91406	8857.16
462.91803	8925.08
462.922	8976.29
462.92596	8997.83
462.9299	9018.45
462.93387	9039.24
462.93784	9069.45
462.9418	9103.27
462.94574	9136.83
462.94971	9165.65
462.95367	9158.4
462.95764	9150.64
462.96158	9142.94
462.96555	9126.45
462.96951	9100.94
462.97345	9075.64
462.97742	9050.14
462.98138	9049.67
462.98535	9052.72
462.98929	9055.75
462.99326	9055.03
462.99722	9043.66
463.00119	9032.3
463.00513	9021.56
463.00909	9064.1
463.01306	9137
463.01703	9209.9
463.02097	9275.82
463.02493	9310.86
463.0289	9340.79
463.03287	9370.79
463.0368	9424.04
463.04077	9510.8
463.04474	9597.56
463.04871	9683.28
463.05264	9759.76
463.05661	9833.22
463.06058	9906.67
463.06454	9970.48
463.06848	10010.7
463.07245	10048.4
463.07642	10086.1
463.08035	10098.1
463.08432	10091.6
463.08829	10084.9
463.09225	10080.1
463.09619	10089.1
463.10016	10100.7
463.10413	10112.4
463.10809	10077.4
463.11203	9955.28
463.116	9832.21
463.11996	9709.13
463.12393	9587.48
463.12787	9467.28
463.13184	9346.15
463.1358	9233.46
463.13977	9185.4
463.14371	9137.71
463.14767	9089.66
463.15164	9029.97
463.15561	8959.02
463.15955	8888.6
463.16351	8818.72
463.16748	8779.33
463.17142	8745.22
463.17538	8710.85
463.17935	8672.49
463.18332	8623.71
463.18726	8575.3
463.19122	8526.77
463.19519	8485.25
463.19916	8447.83
463.20309	8410.69
463.20706	8379.97
463.21103	8376.74
463.215	8378.4
463.21893	8380.05
463.2229	8387.15
463.22687	8401.23
463.23083	8415.36
463.23477	8429.26
463.23874	8442.17
463.24271	8454.64
463.24667	8467.12
463.25061	8491.7
463.25458	8546.19
463.25854	8603.84
463.26251	8661.5
463.26645	8717.57
463.27042	8773.29
463.27438	8829
463.27832	8886.68
463.28229	8964.99
463.28625	9046.48
463.29022	9127.97
463.29416	9194.22
463.29813	9234.41
463.30209	9274.61
463.30606	9314.8
463.31	9372.9
463.31396	9437.76
463.31793	9502.62
463.3219	9558.71
463.32584	9556.51
463.3298	9554.29
463.33377	9552.07
463.33774	9532
463.34167	9495.42
463.34564	9458.55
463.34961	9424.1
463.35358	9420.99
463.35751	9424.29
463.36148	9427.62
463.36545	9421.16
463.36938	9390.36
463.37335	9359.31
463.37732	9327.56
463.38129	9282.2
463.38522	9229.11
463.38919	9175.62
463.39316	9117.03
463.39713	9039.12
463.40106	8958.25
463.40503	8876.76
463.409	8823.9
463.41296	8805.48
463.4169	8787.88
463.42087	8768.38
463.42484	8732.09
463.4288	8689.68
463.43274	8647.6
463.43671	8606.75
463.44067	8569.81
463.44464	8533.22
463.44858	8496.92
463.45255	8453.76
463.45651	8406.09
463.46048	8358.41
463.46442	8315.71
463.46838	8323
463.47235	8336.3
463.47629	8349.5
463.48026	8344.37
463.48422	8306.67
463.48819	8268.98
463.49213	8231.57
463.49609	8212.9
463.50006	8200.7
463.50403	8188.51
463.50797	8179.27
463.51193	8188.99
463.5159	8198.72
463.51987	8208.44
463.5238	8209.08
463.52777	8201.6
463.53174	8194.12
463.53571	8188.49
463.53964	8199.59
463.54361	8214.55
463.54758	8229.52
463.55154	8245.17
463.55548	8262.21
463.55945	8279.39
463.56342	8295.36
463.56735	8292.43
463.57132	8278.29
463.57529	8264.16
463.57925	8257.32
463.58319	8276.01
463.58716	8299.57
463.59113	8323.13
463.59509	8343.21
463.59903	8359.25
463.603	8375.33
463.60696	8391.33
463.61093	8406.55
463.61487	8421.4
463.61884	8436.37
463.6228	8460.16
463.62677	8506.31
463.63071	8553.62
463.63467	8601.3
463.63864	8666.66
463.64261	8743.44
463.64655	8819.63
463.65051	8893.21
463.65448	8915.15
463.65845	8933.45
463.66238	8951.6
463.66635	8959.66
463.67032	8950.79
463.67426	8941.99
463.67822	8933.12
463.68219	8998.13
463.68616	9086.27
463.69009	9173.74
463.69406	9250.54
463.69803	9261.07
463.702	9271.61
463.70593	9282.06
463.7099	9289.21
463.71387	9293.36
463.71783	9297.52
463.72177	9301.21
463.72574	9301.75
463.72971	9301.47
463.73367	9301.19
463.73761	9289.45
463.74158	9254.97
463.74554	9219.76
463.74951	9181.44
463.75345	9099.16
463.75742	8991.06
463.76138	8882.96
463.76532	8786.23
463.76929	8724.9
463.77325	8670.01
463.77722	8615.13
463.78116	8576.13
463.78513	8553.59
463.78909	8531.42
463.79306	8508.53
463.797	8476.68
463.80096	8442.03
463.80493	8407.39
463.8089	8366.23
463.81284	8307.99
463.8168	8248.68
463.82077	8189.36
463.82474	8166.31
463.82867	8165.21
463.83264	8164.1
